# {"t_start": 1573286986.64412, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,64,3.548736
1.0,28,3.590251
0,64,3.765644
1.0,29,3.809448
0,64,3.9019
1.0,16,3.948842
0,64,4.038257
0,64,4.189551
0,64,4.308438
0,64,4.440758
0,64,4.52905
0,64,4.6387
0,64,4.723315
0,64,4.836153
0,64,4.918951
0,64,5.025838
0,64,5.107247
0,64,5.217079
0,64,5.304573
0,64,5.421608
0,64,5.503144
0,64,5.612433
0,64,5.70045
0,64,5.807675
1.0,35,5.852063
1.0,17,5.873638
0,64,5.95475
0,64,6.064454
0,64,6.151565
0,64,6.256951
0,64,6.341948
0,64,6.449787
1.0,43,6.553194
0,64,6.686274
0,64,6.781391
0,64,6.913444
0,64,7.009078
1.0,38,7.088495
1.0,29,7.127853
1.0,42,7.186169
0,64,7.296638
1.0,61,7.384756
0,64,7.496773
0,64,7.597197
0,64,7.727263
0,64,7.820914
0,64,7.941701
0,64,8.023112
0,64,8.139966
1.0,16,8.16426
0,64,8.259225
0,64,8.375636
0,64,8.472885
0,64,8.586209
0,64,8.682153
0,64,8.804277
1.0,62,8.886179
0,64,9.017916
1.0,59,9.117484
1.0,32,9.168986
0,64,9.301271
0,64,9.38406
1.0,61,9.50156
0,64,9.597209
0,64,9.708351
0,64,9.807311
1.0,38,9.895441
1.0,26,9.932773
0,64,10.029348
0,64,10.137243
1.0,64,10.236315
1.0,50,10.334911
0,64,10.429196
0,64,10.556776
0,64,10.649229
1.0,55,10.756672
1.0,48,10.820579
0,64,10.94067
1.0,15,10.961393
0,64,11.058438
1.0,52,11.148803
0,64,11.24365
0,64,11.361896
0,64,11.450158
0,64,11.571548
0,64,11.656006
1.0,41,11.710927
0,64,11.833575
0,64,11.924003
1.0,37,12.008638
0,64,12.108366
1.0,55,12.258059
0,64,12.356809
0,64,12.483185
0,64,12.568689
1.0,22,12.596787
0,64,12.703373
1.0,62,12.780686
1.0,38,12.853529
0,64,12.93385
0,64,13.047995
1.0,26,13.080655
1.0,58,13.153112
1.0,60,13.251754
0,64,13.33068
1.0,49,13.421515
0,64,13.501986
0,64,13.627085
0,64,13.70943
0,64,13.81723
0,64,13.895076
1.0,55,13.988208
1.0,39,14.04408
0,64,14.12331
0,64,14.229536
1.0,49,14.288535
0,64,14.395399
1.0,29,14.431252
1.0,53,14.545709
0,64,14.670866
0,64,14.766603
0,64,14.882749
0,64,14.974669
1.0,44,15.072358
1.0,35,15.121152
0,64,15.233445
1.0,18,15.263
1.0,63,15.357097
0,64,15.463184
0,64,15.557666
1.0,26,15.599009
0,64,15.704609
0,64,15.795795
0,64,15.915334
1.0,55,15.980852
0,64,16.098627
1.0,58,16.181808
0,64,16.288578
1.0,58,16.370663
0,64,16.481367
0,64,16.572532
0,64,16.69236
0,64,16.771896
1.0,46,16.852791
0,64,16.942701
0,64,17.055411
1.0,42,17.11511
1.0,18,17.138001
1.0,64,17.25009
0,64,17.330024
1.0,62,17.436361
0,64,17.523179
0,64,17.634956
1.0,40,17.688014
1.0,45,17.750413
1.0,25,17.785992
0,64,17.890236
1.0,15,17.908613
0,64,17.997414
0,64,18.117532
0,64,18.193241
1.0,31,18.259811
1.0,22,18.290493
1.0,26,18.325933
0,64,18.432705
0,64,18.523477
0,64,18.641935
1.0,46,18.69721
0,64,18.78245
0,64,18.893472
0,64,18.969901
0,64,19.087499
1.0,32,19.131406
0,64,19.237676
0,64,19.321283
0,64,19.436966
0,64,19.515819
0,64,19.63794
1.0,31,19.679734
1.0,29,19.723553
1.0,23,19.756992
0,64,19.883577
1.0,24,19.962371
1.0,21,19.99193
1.0,26,20.028305
1.0,45,20.139719
1.0,33,20.186316
0,64,20.30409
1.0,64,20.397979
0,64,20.516413
1.0,22,20.541258
0,64,20.621763
1.0,29,20.656844
1.0,29,20.71459
0,64,20.788003
0,64,20.887831
0,64,20.96161
0,64,21.060739
1.0,18,21.083248
1.0,30,21.122206
1.0,21,21.148548
1.0,32,21.186962
0,64,21.288252
0,64,21.364441
0,64,21.462263
1.0,53,21.522897
1.0,31,21.58396
1.0,24,21.614459
1.0,21,21.64139
1.0,48,21.697792
1.0,34,21.762153
1.0,48,21.816924
1.0,33,21.856674
1.0,23,21.884464
1.0,34,21.953387
1.0,22,21.979602
1.0,21,22.002325
1.0,15,22.018329
1.0,45,22.071358
1.0,22,22.121968
1.0,48,22.175404
0,64,22.275528
1.0,33,22.311896
1.0,36,22.353886
1.0,28,22.386864
1.0,53,22.476918
0,64,22.549547
1.0,63,22.648659
0,64,22.723417
1.0,48,22.806837
1.0,41,22.853675
1.0,25,22.88181
0,64,22.98195
1.0,43,23.034623
0,64,23.114266
1.0,20,23.161827
1.0,35,23.201217
0,64,23.273118
1.0,33,23.338448
0,64,23.412123
1.0,12,23.425051
0,64,23.531628
1.0,20,23.55394
0,64,23.628912
1.0,40,23.702579
1.0,35,23.744515
1.0,49,23.80178
1.0,55,23.89051
1.0,20,23.911722
0,64,23.984106
1.0,41,24.059982
1.0,64,24.136567
1.0,57,24.23699
1.0,54,24.299368
1.0,36,24.340828
0,64,24.440303
1.0,20,24.46204
1.0,18,24.481688
0,64,24.580021
0,64,24.652356
1.0,50,24.738407
1.0,41,24.783147
0,64,24.853306
1.0,38,24.924264
1.0,58,24.988181
1.0,25,25.016254
1.0,11,25.029472
1.0,24,25.081686
1.0,34,25.118163
1.0,35,25.158689
1.0,35,25.19984
1.0,37,25.272449
1.0,20,25.294099
1.0,19,25.314978
0,64,25.415968
0,64,25.493116
1.0,21,25.518618
1.0,24,25.546061
0,64,25.646157
1.0,30,25.679676
0,64,25.777177
1.0,38,25.818119
1.0,12,25.82991
1.0,32,25.864213
1.0,45,25.940113
1.0,39,25.987147
1.0,25,26.015094
1.0,23,26.041321
1.0,60,26.135893
1.0,62,26.205817
0,64,26.301325
1.0,32,26.33564
1.0,16,26.353881
1.0,11,26.364325
1.0,37,26.405465
1.0,24,26.464756
1.0,23,26.490911
1.0,53,26.548831
0,64,26.642516
1.0,24,26.669963
1.0,16,26.689081
1.0,44,26.736574
1.0,11,26.748952
0,64,26.848311
1.0,16,26.864422
1.0,27,26.895986
1.0,15,26.911388
1.0,24,26.96295
1.0,29,27.001416
1.0,37,27.042414
1.0,43,27.090179
0,64,27.19402
1.0,28,27.223808
1.0,57,27.30927
0,64,27.379258
1.0,34,27.416344
1.0,34,27.475485
1.0,26,27.506453
1.0,36,27.548389
1.0,35,27.58647
1.0,31,27.65242
1.0,18,27.67744
1.0,56,27.740138
1.0,13,27.753858
1.0,14,27.768753
0,64,27.866008
1.0,48,27.920235
1.0,46,27.996658
1.0,24,28.023436
1.0,30,28.059129
1.0,41,28.105656
0,64,28.203088
1.0,14,28.218309
1.0,18,28.23684
1.0,44,28.310489
0,64,28.382937
1.0,16,28.40026
1.0,15,28.416801
1.0,38,28.486993
1.0,11,28.498999
0,64,28.568072
1.0,48,28.647728
1.0,42,28.69813
1.0,15,28.71558
0,64,28.788598
1.0,38,28.860057
1.0,36,28.898746
1.0,30,28.932
1.0,33,28.994321
1.0,57,29.05923
1.0,52,29.118269
1.0,14,29.158133
1.0,58,29.219137
1.0,37,29.260087
1.0,24,29.28883
1.0,42,29.366486
0,64,29.439573
1.0,25,29.467064
1.0,21,29.517439
1.0,26,29.548588
1.0,58,29.614779
1.0,21,29.640685
1.0,23,29.691059
1.0,11,29.702155
1.0,18,29.722461
1.0,13,29.736136
1.0,26,29.764211
1.0,46,29.841113
1.0,53,29.905864
0,64,29.981173
1.0,20,30.028636
1.0,57,30.091827
0,64,30.191871
1.0,49,30.244295
1.0,29,30.276524
1.0,24,30.303168
1.0,27,30.358676
0,64,30.438092
1.0,10,30.451648
1.0,36,30.491313
1.0,13,30.531432
1.0,26,30.562609
0,64,30.63822
1.0,16,30.655158
1.0,20,30.676997
1.0,27,30.732459
1.0,45,30.78483
1.0,13,30.800431
1.0,14,30.816798
1.0,36,30.881866
1.0,56,30.942506
1.0,46,30.994927
1.0,37,31.065677
1.0,23,31.092213
0,64,31.163541
1.0,40,31.233912
1.0,35,31.272224
1.0,24,31.297874
1.0,26,31.327528
1.0,33,31.410611
1.0,13,31.424915
1.0,37,31.467246
1.0,25,31.493826
1.0,23,31.520213
1.0,37,31.590545
1.0,23,31.619064
1.0,24,31.64498
1.0,36,31.685523
1.0,27,31.714714
1.0,12,31.752609
0,64,31.820354
1.0,64,31.915654
1.0,26,31.94445
1.0,33,31.983049
1.0,44,32.031326
1.0,41,32.1051
1.0,35,32.144362
1.0,23,32.169515
1.0,24,32.194114
1.0,33,32.254052
1.0,43,32.307452
1.0,44,32.354055
1.0,43,32.428249
1.0,23,32.453802
1.0,36,32.495171
1.0,29,32.526832
1.0,43,32.600742
1.0,55,32.662882
1.0,11,32.674728
1.0,39,32.718409
1.0,33,32.784578
1.0,39,32.828221
1.0,46,32.880073
1.0,14,32.895727
1.0,30,32.955226
1.0,29,32.987116
1.0,13,33.001698
1.0,27,33.031617
1.0,19,33.052912
1.0,35,33.121961
0,64,33.195562
1.0,35,33.233405
1.0,20,33.281166
1.0,17,33.303924
1.0,20,33.326268
1.0,17,33.344158
1.0,23,33.368927
0,64,33.463943
1.0,10,33.474174
1.0,23,33.500355
0,64,33.570206
1.0,14,33.609971
1.0,37,33.650873
1.0,23,33.672084
1.0,13,33.686985
0,64,33.78232
1.0,46,33.840351
1.0,25,33.869986
1.0,41,33.941167
1.0,47,34.000347
1.0,17,34.017551
0,64,34.11323
1.0,26,34.141606
1.0,42,34.188566
1.0,34,34.227929
1.0,25,34.255058
1.0,12,34.293507
0,64,34.372538
1.0,57,34.463011
1.0,42,34.51604
1.0,12,34.529069
1.0,26,34.556775
1.0,47,34.638791
1.0,27,34.668609
1.0,32,34.706484
1.0,35,34.739489
0,64,34.835331
1.0,16,34.852629
1.0,40,34.897538
0,64,35.000275
1.0,33,35.037239
1.0,33,35.070918
1.0,17,35.08919
1.0,11,35.101081
1.0,17,35.144706
1.0,43,35.192989
1.0,64,35.262995
1.0,21,35.31091
1.0,32,35.344797
1.0,33,35.377731
1.0,11,35.388767
1.0,25,35.4156
1.0,41,35.487597
1.0,20,35.515355
1.0,42,35.560048
1.0,36,35.594981
1.0,14,35.635286
1.0,64,35.710106
1.0,61,35.801928
1.0,26,35.83101
0,64,35.899406
1.0,38,35.96545
1.0,14,35.979713
1.0,23,36.004314
1.0,28,36.03563
1.0,43,36.082286
1.0,26,36.139383
1.0,17,36.164148
1.0,57,36.223043
1.0,51,36.302509
1.0,33,36.338142
1.0,38,36.380692
0,64,36.474901
1.0,18,36.494095
1.0,18,36.515568
1.0,25,36.542167
1.0,25,36.570851
1.0,42,36.64503
1.0,56,36.712055
1.0,36,36.750395
1.0,39,36.81931
1.0,12,36.83206
1.0,42,36.877136
1.0,13,36.893031
0,64,36.987563
1.0,15,37.003495
1.0,14,37.018621
1.0,30,37.051899
1.0,12,37.063874
1.0,12,37.076886
1.0,14,37.090637
1.0,16,37.132327
1.0,25,37.161004
0,64,37.237834
1.0,48,37.318835
1.0,24,37.348853
1.0,30,37.381468
1.0,31,37.41537
0,64,37.510393
1.0,20,37.530899
0,64,37.597668
1.0,30,37.657201
1.0,21,37.679019
1.0,14,37.694854
1.0,35,37.736149
1.0,23,37.762045
0,64,37.86384
1.0,30,37.895879
0,64,37.991984
0,64,38.064228
1.0,33,38.102063
1.0,21,38.148898
1.0,22,38.17058
1.0,60,38.239786
1.0,20,38.259871
1.0,36,38.323895
1.0,36,38.368008
1.0,25,38.394071
1.0,12,38.406747
1.0,36,38.447983
1.0,20,38.494048
1.0,26,38.523008
1.0,20,38.543894
1.0,37,38.585842
0,64,38.683201
1.0,45,38.741884
1.0,51,38.842504
1.0,18,38.863455
1.0,47,38.918699
1.0,11,38.930638
1.0,24,38.958942
1.0,35,39.032351
1.0,39,39.103448
1.0,29,39.149656
0,64,39.264129
1.0,24,39.292293
1.0,16,39.310204
1.0,30,39.349612
1.0,21,39.377348
1.0,23,39.425846
1.0,41,39.472901
0,64,39.550202
1.0,33,39.616369
1.0,61,39.682743
1.0,45,39.73715
1.0,11,39.74913
1.0,60,39.846223
1.0,21,39.871086
1.0,13,39.885234
1.0,22,39.910814
